iter	Passed	Remaining
0	1	138
1	2	123
2	3	103
3	4	98
4	5	96
5	6	94
6	6	89
7	7	87
8	8	87
9	9	86
10	10	85
11	11	85
12	12	82
13	13	81
14	13	79
15	14	77
16	15	75
17	16	73
18	16	72
19	17	70
20	18	69
21	19	69
22	20	68
23	21	67
24	22	67
25	23	66
26	24	66
27	25	66
28	26	65
29	27	65
30	28	64
31	30	63
32	30	62
33	32	62
34	32	61
35	33	59
36	35	60
37	36	59
38	37	58
39	38	57
40	39	56
41	40	55
42	41	55
43	42	54
44	43	53
45	44	52
46	45	51
47	45	49
48	46	48
49	47	47
50	48	46
51	49	45
52	50	44
53	51	43
54	51	42
55	52	41
56	53	40
57	53	38
58	55	38
59	55	37
60	56	36
61	57	35
62	58	34
63	59	33
64	60	32
65	61	31
66	62	30
67	62	29
68	63	28
69	64	27
70	65	26
71	66	25
72	67	24
73	67	23
74	68	22
75	69	21
76	70	21
77	71	20
78	72	19
79	72	18
80	74	17
81	74	16
82	75	15
83	76	14
84	76	13
85	77	12
86	78	11
87	80	10
88	81	10
89	82	9
90	83	8
91	84	7
92	85	6
93	86	5
94	87	4
95	88	3
96	89	2
97	89	1
98	90	0
99	91	0
